,beta0,beta1,beta2
PC1,0.5788914925331174,-0.2374810109720114,0.7867430111601404
PC2,0.8540227912383364,-0.977088491600575,-0.32444985232650925
PC3,0.0005090551473846862,0.2024679402168609,-0.03798702516488363
