date,sample,rmse_bp,max_abs_error_bp
2022-07-18,train,7.71728770008875,11.309964289427299
2022-07-19,train,8.321359148972654,12.56381936233848
2022-07-20,train,8.408026241192376,12.979285908374116
2022-07-21,train,8.112073340928475,11.35237953944399
2022-07-22,train,8.14449417671168,11.94942989601051
2022-07-25,train,8.284329935594279,11.69444402046711
2022-07-26,train,9.127456006462596,12.686855017474707
2022-07-27,train,8.96105524996059,12.81334700142196
2022-07-28,train,9.603607966590074,14.294859532207571
2022-07-29,train,9.901207570443965,15.02660658564805
2022-08-01,train,9.879727743129193,14.390994688225245
2022-08-02,train,10.664072940343901,14.783639762368672
2022-08-03,train,10.595471993371161,14.65687761339054
2022-08-04,train,10.780796250540984,15.303435391022191
2022-08-05,train,11.588479567973877,15.620690666550008
2022-08-08,train,11.37545151026559,15.365834366264863
2022-08-09,train,12.039677858315272,16.21332413219525
2022-08-10,train,11.958444953239127,16.16407006848273
2022-08-11,train,11.700518653660732,15.761121438366699
2022-08-12,train,12.538381417902137,16.904089927236132
2022-08-15,train,12.70416493325306,17.27865479980246
2022-08-16,train,13.08143878488882,17.593502349010357
2022-08-17,train,13.417269129946488,18.50411439268802
2022-08-18,train,13.159049184081784,19.08622220899341
2022-08-19,train,12.118311859689014,17.307199883103497
2022-08-22,train,12.021952268808239,17.062545264180606
2022-08-23,train,11.255880428268414,16.13288113315332
2022-08-24,train,11.338857782284991,15.504438097711448
2022-08-25,train,11.892134541917976,16.44223490183183
2022-08-26,train,11.039985373724305,15.373921500584276
2022-08-29,train,10.242314030078466,14.37184761355419
2022-08-30,train,10.033045951801341,13.532584165048922
2022-08-31,train,9.177862009897318,13.016477671034421
2022-09-01,train,8.674201696818233,12.055178034414693
2022-09-02,train,8.001146580816009,11.90626270290216
2022-09-06,train,8.269298236720815,12.152624569309678
2022-09-07,train,7.821704350043531,11.526650730983912
2022-09-08,train,8.57707478885482,12.410852667444772
2022-09-09,train,8.59711290405736,12.132549970729523
2022-09-12,train,8.330925884284557,11.960231900562057
2022-09-13,train,8.09503034661108,11.417205168119304
2022-09-14,train,8.118926385983963,11.307357939503948
2022-09-15,train,7.56262758467453,10.204815856054195
2022-09-16,train,7.618842435942081,10.5891205250916
2022-09-19,train,7.6586194199650865,10.67544743837332
2022-09-20,train,7.179153369866569,12.477989993712724
2022-09-21,train,7.430271835666404,10.097804724964288
2022-09-22,train,7.096665865725507,9.886528694895347
2022-09-23,train,9.32060636612633,13.032857241674822
2022-09-26,train,7.902235727412115,11.176561992743128
2022-09-27,train,7.658751549101672,10.75879163373239
2022-09-28,train,6.889571257980856,9.650233483624415
2022-09-29,train,7.04832062029933,10.031131310266339
2022-09-30,train,7.293864623462741,10.273166855231697
2022-10-03,train,8.54496793834589,11.709174816189405
2022-10-04,train,8.791659921149227,12.221573076164649
2022-10-05,train,7.270544524429493,12.482281466891099
2022-10-06,train,7.087619695095208,11.847914717018737
2022-10-07,train,8.278346105818818,11.579004779851587
2022-10-11,train,6.775397582172062,11.578449344925534
2022-10-12,train,7.0098852907696685,11.762709267972493
2022-10-13,train,8.979967061827926,14.816612736034607
2022-10-14,train,8.666558821029277,14.38076054142865
2022-10-17,train,8.140282805183128,13.591125472284826
2022-10-18,train,8.36058184331931,14.104048394298108
2022-10-19,train,8.113259948608894,10.959047071157446
2022-10-20,train,8.76319862554293,12.232500238943533
2022-10-21,train,7.210094131628049,10.13701889130818
2022-10-24,train,6.809516140512595,9.64359096898848
2022-10-25,train,8.422941102486968,13.862977676924615
2022-10-26,train,7.140845690846358,10.070826212131578
2022-10-27,train,3.520389040061356,5.811760871878313
2022-10-28,train,5.321794899883618,7.249565127014801
2022-10-31,train,5.105271995643439,7.331443877125121
2022-11-01,train,2.869748791663207,4.76149250071396
2022-11-02,train,7.35453900319892,10.412189821305962
2022-11-03,train,7.191669204018913,10.19102968860608
2022-11-04,train,6.272311361507904,9.731007107540801
2022-11-07,train,6.395488492760299,10.403527253077804
2022-11-08,train,5.977490004563764,10.566097755254411
2022-11-09,train,4.968404408805468,9.045331265861911
2022-11-10,train,4.939159498262086,8.113937063825327
2022-11-14,train,5.051048040349106,8.313800326954945
2022-11-15,train,4.768458991166996,7.675991783905722
2022-11-16,train,5.324403176447266,8.730425806294972
2022-11-17,train,5.21041963572386,8.557317773673612
2022-11-18,train,5.656926554820152,9.087785294950113
2022-11-21,train,4.996706635130121,9.128493090735912
2022-11-22,train,5.81198453539759,9.244788830406936
2022-11-23,train,5.2648506336755005,8.598581661902571
2022-11-25,train,5.476446174217187,8.968081808336459
2022-11-28,train,4.987952490313206,8.207898836454897
2022-11-29,train,4.922342689299009,8.109154642045535
2022-11-30,train,5.018489379820888,7.772192566988556
