Date,beta0,beta1,beta2,lambda1
2022-07-18,3.4646181945006256,-0.05748387477323158,-1.359510417066087,2.6153946544185613
2022-07-19,3.464904037874446,-0.037579356997152646,-1.164022875988319,2.6153946544185613
2022-07-20,3.446278914151034,-0.03771691657631382,-0.9760828008680446,2.6153946544185613
2022-07-21,3.41165359463504,-0.04735841743524882,-1.4391524969002942,2.6153946544185613
2022-07-22,3.369175361120929,-0.025851755941831644,-1.804734157198558,2.6153946544185613
2022-07-25,3.426186735833303,-0.031573090430962236,-1.8823165159788797,2.6153946544185613
2022-07-26,3.4072703810715623,0.019407783096176856,-1.870296257066547,2.6153946544185613
2022-07-27,3.452598151137679,-0.04956568937296324,-2.1408029559933883,2.6153946544185613
2022-07-28,3.5116903457526694,-0.09429894716577825,-2.7362879702080263,2.6153946544185613
2022-07-29,3.4788404666510773,-0.028859965489674178,-2.696967457221629,2.6153946544185613
2022-08-01,3.366623357401755,0.11638888891682675,-2.677343493374758,2.6153946544185613
2022-08-02,3.3733332367426776,0.14279969255662073,-2.092714678430697,2.6153946544185613
2022-08-03,3.3044554906106773,0.24696679173749075,-2.0082323830501965,2.6153946544185613
2022-08-04,3.3707901233729167,0.2081824443303375,-2.4776570377250233,2.6153946544185613
2022-08-05,3.4000786279902795,0.3052295495313013,-2.0300664876680656,2.6153946544185613
2022-08-08,3.3328371718047354,0.38257441743211373,-2.0979382744721566,2.6153946544185613
2022-08-09,3.323090759868884,0.4180298421913271,-1.9515003878573098,2.6153946544185613
2022-08-10,3.4110144989580267,0.3078350538145144,-2.213647397679208,2.6153946544185613
2022-08-11,3.5686437334347976,0.11234729480945582,-2.2809129361030274,2.6153946544185613
2022-08-12,3.5130337579696964,0.19514023639122025,-2.2452757315288703,2.6153946544185613
2022-08-15,3.511923881976603,0.19452349218283826,-2.445480040714424,2.6153946544185613
2022-08-16,3.484790780409981,0.22767212184516827,-2.2519616772676145,2.6153946544185613
2022-08-17,3.5036650494927697,0.1881441670282894,-1.9721394537304207,2.6153946544185613
2022-08-18,3.506250742201167,0.1370888058945099,-1.9980183039620198,2.6153946544185613
2022-08-19,3.6038751933652184,0.004322714708985043,-1.8415377089966416,2.6153946544185613
2022-08-22,3.5947078623387423,0.04188861761332563,-1.6380361360222235,2.6153946544185613
2022-08-23,3.605339553211705,-0.02902962164282652,-1.5376842030637468,2.6153946544185613
2022-08-24,3.667448453671237,-0.04284169314573283,-1.5126791636164616,2.6153946544185613
2022-08-25,3.5818114554196026,0.08463207626780123,-1.6131053086581484,2.6153946544185613
2022-08-26,3.501521350847167,0.152247879951379,-1.299017388680823,2.6153946544185613
2022-08-29,3.5439174195584546,0.1024774833941332,-1.1571817241583897,2.6153946544185613
2022-08-30,3.497053027551476,0.19499944196635643,-1.0912029910303522,2.6153946544185613
2022-08-31,3.5605584332482856,0.13876194565276828,-1.171528128111668,2.6153946544185613
2022-09-01,3.672600182573234,0.027753953070816795,-1.0516590749183303,2.6153946544185613
2022-09-02,3.6968983194075156,-0.022653023909375625,-1.3581294675832254,2.6153946544185613
2022-09-06,3.819600782260287,-0.09845612758463795,-1.2509536779172823,2.6153946544185613
2022-09-07,3.7576633735032474,-0.019463324829494755,-1.3678463845136406,2.6153946544185613
