date,sample,rmse_bp,max_abs_error_bp
2022-07-18,train,2.4317515646113614,4.395294146301509
2022-07-19,train,2.4868800809347644,4.517811925573634
2022-07-20,train,2.38121785131095,4.311330040246375
2022-07-21,train,2.461822808675958,2.9999021830313666
2022-07-22,train,1.9706949012167456,2.381806053470248
2022-07-25,train,2.3190914675722922,2.8255157017547994
2022-07-26,train,2.7520102698740883,3.3594300931639953
2022-07-27,train,2.3620318441577166,2.868955480272728
2022-07-28,train,1.9940154531932117,2.399443838119808
2022-07-29,train,1.8771562363945873,2.2462073923368298
2022-08-01,train,2.313246690344693,2.802481399879042
2022-08-02,train,3.2664850023853638,3.991151244437452
2022-08-03,train,3.2837735461277675,4.00594645724941
2022-08-04,train,2.9402988160053067,3.5765028906662444
2022-08-05,train,4.251518554044986,5.224378275542474
2022-08-08,train,4.192370573605034,5.15551833599317
2022-08-09,train,4.211753539091736,5.162648997068464
2022-08-10,train,4.417428974014209,5.433619411134627
2022-08-11,train,3.9934720282595357,4.895902855766199
2022-08-12,train,4.598155266245583,5.652093319711238
2022-08-15,train,4.132554390078163,5.059470064589311
2022-08-16,train,4.636025764414263,5.688549933825504
2022-08-17,train,4.37402459373081,5.338662183919052
2022-08-18,train,3.611053771474727,4.364617902132029
2022-08-19,train,3.523366061687555,4.281011683972169
2022-08-22,train,3.6249714850905197,4.404137985973211
2022-08-23,train,3.2844895897686426,3.9806638220829083
2022-08-24,train,3.8412837850915214,4.691498932537863
2022-08-25,train,3.891749025713022,4.748023568057125
2022-08-26,train,3.5929180284498146,4.375847476312877
2022-08-29,train,3.273160915625751,3.982889915178678
2022-08-30,train,3.6017140940107195,4.410181896978704
2022-08-31,train,2.7942238373669666,3.3953958563448516
2022-09-01,train,2.8337244297719706,3.4513069242855465
2022-09-02,train,1.939528362799273,2.3305425767953025
2022-09-06,train,2.1640903500427497,2.610704737862646
2022-09-07,train,1.9651803207032863,2.3717021994597243
2022-09-08,train,2.3441413533952007,2.83444740590193
2022-09-09,train,2.570447251892805,3.127389927786428
2022-09-12,train,2.290527513730808,2.7786575419405324
2022-09-13,train,2.409558690359417,2.929627173282734
2022-09-14,train,2.515679822115406,3.065160040103665
2022-09-15,train,2.850012659619343,3.5013298322279507
2022-09-16,train,3.276379857537522,4.154756805789939
2022-09-19,train,3.431252412840994,4.370170218457137
2022-09-20,train,0.8662533474844528,1.7921137730308345
2022-09-21,train,3.515585710584243,5.6488230406552375
2022-09-22,train,3.808609166816549,6.159414816106423
2022-09-23,train,4.617281503885745,5.865118852779716
2022-09-26,train,4.398118414767537,5.716798949898116
2022-09-27,train,4.021539139310252,5.1320783442109
2022-09-28,train,3.2925284504681707,4.22443298946753
2022-09-29,train,3.8602571639969594,5.1926888880799105
2022-09-30,train,3.8044638478005153,5.088077314007755
2022-10-03,train,3.512635510681476,4.32506493707252
2022-10-04,train,3.8615193879312546,4.894767881455664
2022-10-05,train,1.1069593320938487,2.357557503397345
2022-10-06,train,1.6478362504001254,3.577874801705505
2022-10-07,train,4.028792543902057,5.12601057995159
2022-10-11,train,1.2913934397579798,2.781234649800357
2022-10-12,train,1.491554227614267,3.1949663415985263
2022-10-13,train,2.2377776054139003,4.759283788845892
2022-10-14,train,2.165400810454626,4.618331134291154
2022-10-17,train,1.7923628733175985,3.790194769530242
2022-10-18,train,1.599168487923892,3.3608412247213337
2022-10-19,train,3.6989654995227355,5.432617507768089
2022-10-20,train,4.261184768909262,5.4744534271711665
2022-10-21,train,3.373459149914976,4.398772668287876
2022-10-24,train,3.3065443390045126,4.41954487835714
2022-10-25,train,0.9536191286963708,1.250734682641852
2022-10-26,train,3.3239012935418115,4.397901949958971
2022-10-27,train,1.8751940887189467,3.8141224978549992
2022-10-28,train,1.8796422532667607,3.7646971412495844
2022-10-31,train,1.5100501936838184,3.0459520700787834
2022-11-01,train,1.7454172566061588,3.5562723619975145
2022-11-02,train,6.964549620800678,9.558900165959727
2022-11-03,train,6.8065235927251955,9.40701595241622
2022-11-04,train,5.708731959242417,8.639859473493239
2022-11-07,train,5.796157762601675,9.206464996874075
2022-11-08,train,4.749425583544806,8.550215750068979
2022-11-09,train,3.8539528886873544,7.239825847494341
2022-11-10,train,2.8849411834046137,5.707591376786247
2022-11-14,train,2.780256819694554,5.521067499619825
2022-11-15,train,3.195734420421138,6.244435518733926
2022-11-16,train,3.1256299408729973,6.133504852769356
2022-11-17,train,2.660376069455673,5.30528669939665
2022-11-18,train,2.259147637975063,4.589451296789804
2022-11-21,train,2.993957754858591,6.565218734680833
2022-11-22,train,2.1439612302554254,4.376849279279993
2022-11-23,train,2.4637785298777612,4.9388150434497735
2022-11-25,train,2.672412969873105,5.320506481259457
2022-11-28,train,2.7411444023171487,5.425855674394597
2022-11-29,train,2.75420886883925,5.457091184084684
2022-11-30,train,3.645687387707084,7.01024970920896
2022-12-01,train,4.319699199165614,8.107278547618213
2022-12-02,train,4.328357185013655,8.061304398385527
2022-12-05,train,3.5181703054504716,6.748567332089461
2022-12-06,train,3.586608214246203,6.845492550052512
2022-12-07,train,3.959498431950769,7.4387224282205455
2022-12-08,train,3.8608199324543873,7.270832731910115
2022-12-09,train,3.8815481215179526,7.318993226150861
2022-12-12,train,3.6662819481221827,6.960323258447865
2022-12-13,train,3.8971730894753867,7.355284752873414
2022-12-14,train,4.006578590122283,7.527410392460698
2022-12-15,train,3.6947542907388984,7.028226832561035
2022-12-16,train,4.289570129675205,8.026349928229948
2022-12-19,train,3.924042228496591,7.427992366896152
2022-12-20,train,3.9230918887596715,7.394723155790972
2022-12-21,train,3.33626681354289,6.234263829065778
2022-12-22,train,3.787366001822064,7.195976062642773
2022-12-23,train,3.699173474010254,7.059865213576977
2022-12-27,train,3.541222340757392,6.794698814830902
2022-12-28,train,3.6147775919230227,6.906772062976163
2022-12-29,train,3.6854428931026377,7.036881228114433
2022-12-30,train,3.889055842282066,7.409012896631495
2023-01-03,train,3.6021040455524025,6.917631397481916
2023-01-04,train,3.637178594527251,6.97960654415124
2023-01-05,train,3.328841263242531,6.441983195736256
2023-01-06,train,2.827114065440667,5.278496865802529
2023-01-09,train,2.0655389900810253,4.009441893097954
2023-01-10,train,2.235732270697225,4.341315908538279
2023-01-11,train,2.253692725691414,4.373857770123024
