,beta0,beta1,beta2,beta3
PC1,0.5750952170114686,-0.22738634063951857,0.47429283270870193,-0.35570137719985634
PC2,0.6206495338884058,-0.7503425453032804,-0.2631761718454667,0.2528349918572558
PC3,0.49011494935722383,-0.4056077548562498,0.6731875720166249,-0.7501693900700508
