Date,beta0,beta1,beta2,beta3,lambda1,lambda2
2022-07-18,4.0255205461066526,-0.9039216780176915,8.001310657133194,-9.963114587095237,3.706451383335924,4.337050916282996
2022-07-19,4.086729045324099,-0.9636405829272581,9.707330016274614,-11.584513496542332,3.706451383335924,4.337050916282996
2022-07-20,4.086746889593397,-0.983542272102516,10.553507862603924,-12.288130956740224,3.706451383335924,4.337050916282996
2022-07-21,4.002684481584753,-0.9392132074621689,8.39951522869934,-10.477839860233821,3.706451383335924,4.337050916282996
2022-07-22,3.961342276245528,-0.9342417408376387,7.528812960565104,-9.938733831642638,3.706451383335924,4.337050916282996
2022-07-25,4.0176206552369065,-0.941050013718725,7.312217207160056,-9.790025702499525,3.706451383335924,4.337050916282996
2022-07-26,4.0613519427595355,-0.9783281424964754,8.565069111273594,-11.136279265355784,3.706451383335924,4.337050916282996
2022-07-27,4.092245661005762,-1.0373696659362859,7.665456005360065,-10.432853447489022,3.706451383335924,4.337050916282996
2022-07-28,4.193122860487556,-1.1646837138658794,7.092126682599999,-10.42930603419394,3.706451383335924,4.337050916282996
2022-07-29,4.190423945585339,-1.1413747197444088,7.765013497659901,-11.129318178556014,3.706451383335924,4.337050916282996
2022-08-01,4.065354846770363,-0.9768309485892113,7.441522958708663,-10.821642198356201,3.706451383335924,4.337050916282996
2022-08-02,4.13921039164486,-1.02232345732375,10.19018203462554,-13.15462489206557,3.706451383335924,4.337050916282996
2022-08-03,4.066641337317932,-0.9102006294016536,10.256091470433523,-13.17521399959223,3.706451383335924,4.337050916282996
2022-08-04,4.140008326077437,-0.9772109294029949,9.281848276573204,-12.613588661715657,3.706451383335924,4.337050916282996
2022-08-05,4.217737101244644,-0.930131743158555,11.253554500291216,-14.291546799936201,3.706451383335924,4.337050916282996
2022-08-08,4.1293592569665245,-0.8257001329623153,10.609971464646025,-13.70523665989793,3.706451383335924,4.337050916282996
2022-08-09,4.186687638687799,-0.8805687368714468,12.310364045628642,-15.378189111377191,3.706451383335924,4.337050916282996
2022-08-10,4.248206681579989,-0.9619579614492508,11.19018840444553,-14.419719870910438,3.706451383335924,4.337050916282996
2022-08-11,4.395999243404674,-1.145856221412601,10.966256757749132,-14.17495919707402,3.706451383335924,4.337050916282996
2022-08-12,4.396432030881063,-1.1408108907989134,12.115920553166125,-15.399509702942833,3.706451383335924,4.337050916282996
2022-08-15,4.4182880265297975,-1.1827077126565926,12.10887311525283,-15.599260304254125,3.706451383335924,4.337050916282996
2022-08-16,4.416449857808554,-1.1774651367212243,13.058025282111588,-16.42404651175272,3.706451383335924,4.337050916282996
2022-08-17,4.487874939633702,-1.2818100925808023,14.850945810805875,-18.024695196440778,3.706451383335924,4.337050916282996
2022-08-18,4.489498747686481,-1.333856453886625,14.831417208876767,-18.006029001194303,3.706451383335924,4.337050916282996
2022-08-19,4.5044224964116175,-1.3422582175832432,13.623845624748157,-16.502347280707056,3.706451383335924,4.337050916282996
2022-08-22,4.4922232650246325,-1.292685573270215,14.035225310818989,-16.74156866295514,3.706451383335924,4.337050916282996
2022-08-23,4.449125025617543,-1.2835459578820458,13.249302179185554,-15.768131526261097,3.706451383335924,4.337050916282996
2022-08-24,4.502524405294371,-1.2827211710045594,13.119902813379957,-15.602844232356501,3.706451383335924,4.337050916282996
2022-08-25,4.4601522940967255,-1.2212863763424697,13.66873002893571,-16.342500128915095,3.706451383335924,4.337050916282996
2022-08-26,4.325859131277507,-1.065794192638276,13.313552159502947,-15.65569496452868,3.706451383335924,4.337050916282996
2022-08-29,4.3129330475619465,-1.0317361238687675,12.583071670095649,-14.705791904956191,3.706451383335924,4.337050916282996
2022-08-30,4.238583245375151,-0.8972779824017167,12.11454046050886,-14.173813862568718,3.706451383335924,4.337050916282996
2022-08-31,4.2477108584488885,-0.8804019475109741,10.880181871158362,-12.9144295516056,3.706451383335924,4.337050916282996
2022-09-01,4.319160068167784,-0.9283407772946557,10.419361515349431,-12.255049809360582,3.706451383335924,4.337050916282996
2022-09-02,4.296052038773918,-0.924309333735893,8.769860620792691,-10.792714169498607,3.706451383335924,4.337050916282996
2022-09-06,4.441644750194838,-1.0278756576962098,9.538147322943102,-11.472467914845902,3.706451383335924,4.337050916282996
2022-09-07,4.339907860614609,-0.8973168220599979,8.39910112489128,-10.408880916848952,3.706451383335924,4.337050916282996
2022-09-08,4.421713100987569,-0.9428109455890739,9.360849019690464,-11.4980603025081,3.706451383335924,4.337050916282996
2022-09-09,4.41837754468111,-0.8336497293951943,9.23016677302099,-11.381729503742223,3.706451383335924,4.337050916282996
2022-09-12,4.482268790811266,-0.8605603725572246,8.463511804601609,-10.700364111828723,3.706451383335924,4.337050916282996
2022-09-13,4.368778461752607,-0.5153616631372806,8.4346519367296,-10.562802562532214,3.706451383335924,4.337050916282996
2022-09-14,4.322188232262048,-0.39258974169599825,8.350221287857313,-10.507803004075324,3.706451383335924,4.337050916282996
2022-09-15,4.243781284783434,-0.2542992631674055,7.829083423843292,-9.723396011125647,3.706451383335924,4.337050916282996
2022-09-16,4.308718096476441,-0.2583918679696511,6.287143367684146,-8.467825545727617,3.706451383335924,4.337050916282996
2022-09-19,4.258527120421144,-0.14806646577035476,6.999637374445717,-9.003618518187384,3.706451383335924,4.337050916282996
2022-09-20,4.388294875982535,-0.2945096856530687,7.960535293488455,-9.951816292949765,3.706451383335924,4.337050916282996
2022-09-21,4.1648960459651505,0.003984473954444567,7.419569756157116,-9.181772507377747,3.706451383335924,4.337050916282996
2022-09-22,4.2529370801924244,-0.13256813778685095,8.380565334334154,-9.586633456973471,3.706451383335924,4.337050916282996
2022-09-23,4.356895336168895,-0.20180993210403986,12.129601551142978,-13.571166248457589,3.706451383335924,4.337050916282996
2022-09-26,4.300697858265466,-0.14750850615384625,12.029247192838213,-12.683757101362175,3.706451383335924,4.337050916282996
2022-09-27,4.492556216531865,-0.325590557429551,11.316308887000554,-12.086556803091723,3.706451383335924,4.337050916282996
2022-09-28,4.36085591226883,-0.1728404020573061,7.325978726626925,-8.814727641745254,3.706451383335924,4.337050916282996
2022-09-29,4.336121602118148,-0.10966332972659432,7.712110295940812,-9.025076081369521,3.706451383335924,4.337050916282996
2022-09-30,4.438957845843547,-0.19399591867834376,8.551729497483166,-9.833622222868398,3.706451383335924,4.337050916282996
2022-10-03,4.551296553397852,-0.2881302498953191,8.698949252527163,-10.797265446809016,3.706451383335924,4.337050916282996
2022-10-04,4.539152559222147,-0.23242792383108068,7.937793109065853,-10.276285347044949,3.706451383335924,4.337050916282996
2022-10-05,4.587507093858855,-0.28803069856435015,8.165202149836295,-10.133143617910367,3.706451383335924,4.337050916282996
2022-10-06,4.547671656242039,-0.23257330974357715,8.706830144832995,-10.365618354755847,3.706451383335924,4.337050916282996
2022-10-07,4.583897607816031,-0.2710136665602102,10.048133887898858,-11.510255659859332,3.706451383335924,4.337050916282996
2022-10-11,4.649927306199059,-0.26604697505235864,8.381045155850854,-9.986131866256319,3.706451383335924,4.337050916282996
2022-10-12,4.657923628405751,-0.28757968108899024,8.480116650314523,-10.166120724968675,3.706451383335924,4.337050916282996
2022-10-13,4.859038949006848,-0.3519174631028401,11.273395031987464,-13.280549439293102,3.706451383335924,4.337050916282996
2022-10-14,4.840752081358147,-0.31133121700789324,11.127947950290817,-13.005340164718813,3.706451383335924,4.337050916282996
2022-10-17,4.869092289889199,-0.36041758157719994,9.999927566957908,-11.90592892440378,3.706451383335924,4.337050916282996
2022-10-18,4.901814135711413,-0.39390759797574293,9.955399411568282,-12.023724939586439,3.706451383335924,4.337050916282996
2022-10-19,4.873809590197267,-0.31100385854327217,9.371985876422254,-10.990283118252078,3.706451383335924,4.337050916282996
2022-10-20,4.990566125809568,-0.4448992598337689,10.85686010143358,-12.331633206200713,3.706451383335924,4.337050916282996
2022-10-21,5.085653019604287,-0.4995093708211209,5.999564275087357,-7.930434322163186,3.706451383335924,4.337050916282996
2022-10-24,5.1363863154135725,-0.5157000629567756,4.8533755268369925,-6.821383090036055,3.706451383335924,4.337050916282996
2022-10-25,5.185363958747617,-0.6316364010462341,8.895404779524089,-11.30324339854392,3.706451383335924,4.337050916282996
2022-10-26,4.915532689392034,-0.26688002645559394,4.773317762825041,-6.998590366511142,3.706451383335924,4.337050916282996
2022-10-27,4.552080631141917,0.14316975835146195,-1.1842948320399014,-0.6887247903946281,3.706451383335924,4.337050916282996
2022-10-28,4.81206864852933,-0.06471279028608701,2.2070712595252044,-4.405833489567578,3.706451383335924,4.337050916282996
2022-10-31,4.866082547320827,-0.041162049899865716,2.0778911549027757,-4.2733532647988905,3.706451383335924,4.337050916282996
2022-11-01,4.455461213053504,0.4473051443156384,-1.1831452132401092,-0.3313136266106305,3.706451383335924,4.337050916282996
2022-11-02,4.240775332424798,0.8148809728414823,-4.972831321180014,3.764667871779704,3.706451383335924,4.337050916282996
2022-11-03,4.332499854018907,0.7609474752939638,-2.7677243236278506,1.496106051003709,3.706451383335924,4.337050916282996
2022-11-04,4.534201197439099,0.5418270704752663,-3.411514667318102,1.7829938499705928,3.706451383335924,4.337050916282996
2022-11-07,4.618987335412406,0.4966411046414434,-3.0742565650576976,1.4179932135791438,3.706451383335924,4.337050916282996
2022-11-08,4.695986412732337,0.39575193710540296,-1.431083031365518,-0.6551461685649376,3.706451383335924,4.337050916282996
2022-11-09,4.712853102244376,0.3731415639921778,-2.970876261122054,0.8007644604392385,3.706451383335924,4.337050916282996
2022-11-10,4.599569674727256,0.3105004917332497,-3.1705167694443763,0.32476633967464874,3.706451383335924,4.337050916282996
2022-11-14,4.648963025941688,0.33637887628331964,-2.7073736641907966,-0.17700981017559145,3.706451383335924,4.337050916282996
2022-11-15,4.472098857078688,0.529096029289067,-4.507435324795126,1.6792819543588564,3.706451383335924,4.337050916282996
2022-11-16,4.3980021940836735,0.6407578868258229,-3.6854689992273184,0.5257143424425003,3.706451383335924,4.337050916282996
2022-11-17,4.451662676649148,0.594698980115638,-2.087795830800115,-0.8626360057640218,3.706451383335924,4.337050916282996
2022-11-18,4.552130068019767,0.5153000324298674,-0.44192275539098524,-2.563320622085823,3.706451383335924,4.337050916282996
2022-11-21,4.440164140664832,0.7570133895431155,-2.946370670836027,0.038711999680097885,3.706451383335924,4.337050916282996
2022-11-22,4.454261769773458,0.6478695052239197,0.05023979950086207,-3.090405197337497,3.706451383335924,4.337050916282996
2022-11-23,4.270777031529343,0.8707659655824455,-1.3524522523740363,-1.5878868198272644,3.706451383335924,4.337050916282996
2022-11-25,4.297912247689433,0.8604143877569241,-1.9227392946917192,-1.2026587611698962,3.706451383335924,4.337050916282996
2022-11-28,4.209615802627879,0.9587432243315841,-2.537113425971021,-0.37213439276838006,3.706451383335924,4.337050916282996
2022-11-29,4.2760813682555145,0.8801368981657456,-2.573403552564488,-0.2795681233489035,3.706451383335924,4.337050916282996
2022-11-30,4.197429317999007,1.007630554605941,-6.20952407069821,3.108843338491851,3.706451383335924,4.337050916282996
2022-12-01,3.8617997425527326,1.3604692285583266,-9.955542392392378,6.970699536980223,3.706451383335924,4.337050916282996
2022-12-02,3.6892885500963057,1.578525576073079,-10.953544654455449,8.188864711366987,3.706451383335924,4.337050916282996
2022-12-05,3.87576606833819,1.3503504834002273,-6.281565376454884,3.6085407168980783,3.706451383335924,4.337050916282996
2022-12-06,3.773277515996164,1.447668333805098,-6.724274190895416,3.9617847708791936,3.706451383335924,4.337050916282996
2022-12-07,3.5613855725472936,1.6504048379448282,-8.97078462788856,6.285053144198509,3.706451383335924,4.337050916282996
